survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_to,alive,alone
0,1,male,22,1,0,7.25,C,First,man,1,C,Southampton,no,0
1,2,female,38,0,0,71.83,S,Second,woman,0,D,Cherbourg,yes,1
1,3,female,26,1,0,8.05,S,Third,woman,0,E,Queenstown,yes,0
0,1,male,35,0,1,53.1,C,First,man,1,C,Southampton,no,1
1,2,female,35,0,1,8.05,C,Second,woman,0,D,Cherbourg,yes,0
0,3,male,27,1,0,10.5,S,Third,man,1,E,Queenstown,no,1
1,1,female,14,0,0,7.73,C,First,woman,0,C,Southampton,yes,0
0,2,male,4,0,0,12.47,C,Second,man,1,D,Cherbourg,no,1
1,3,female,58,2,0,39.69,S,Third,woman,0,E,Queenstown,yes,0
0,1,male,20,1,0,18.0,S,First,man,1,C,Southampton,no,1
0,1,male,22,1,0,7.25,C,First,man,1,C,Cherbourg,no,0
1,2,female,38,0,0,71.83,S,Second,woman,0,D,Queenstown,yes,1
1,3,female,26,1,0,8.05,S,Third,woman,0,E,Southampton,yes,0
0,1,male,35,0,1,53.1,C,First,man,1,C,Cherbourg,no,1
1,2,female,35,0,1,8.05,C,Second,woman,0,D,Queenstown,yes,0
0,3,male,27,1,0,10.5,S,Third,man,1,E,Southampton,no,1
1,1,female,14,0,0,7.73,C,First,woman,0,C,Cherbourg,yes,0
0,2,male,4,0,0,12.47,C,Second,man,1,D,Queenstown,no,1
1,3,female,58,2,0,39.69,S,Third,woman,0,E,Southampton,yes,0
0,1,male,20,1,0,18.0,S,First,man,1,C,Cherbourg,no,1
0,1,male,22,1,0,7.25,C,First,man,1,C,Queenstown,no,0
1,2,female,38,0,0,71.83,S,Second,woman,0,D,Southampton,yes,1
1,3,female,26,1,0,8.05,S,Third,woman,0,E,Cherbourg,yes,0
0,1,male,35,0,1,53.1,C,First,man,1,C,Queenstown,no,1
1,2,female,35,0,1,8.05,C,Second,woman,0,D,Southampton,yes,0
0,3,male,27,1,0,10.5,S,Third,man,1,E,Cherbourg,no,1
1,1,female,14,0,0,7.73,C,First,woman,0,C,Queenstown,yes,0
0,2,male,4,0,0,12.47,C,Second,man,1,D,Southampton,no,1
1,3,female,58,2,0,39.69,S,Third,woman,0,E,Cherbourg,yes,0
0,1,male,20,1,0,18.0,S,First,man,1,C,Queenstown,no,1
0,1,male,22,1,0,7.25,C,First,man,1,C,Southampton,no,0
1,2,female,38,0,0,71.83,S,Second,woman,0,D,Cherbourg,yes,1
1,3,female,26,1,0,8.05,S,Third,woman,0,E,Queenstown,yes,0
0,1,male,35,0,1,53.1,C,First,man,1,C,Southampton,no,1
1,2,female,35,0,1,8.05,C,Second,woman,0,D,Cherbourg,yes,0
0,3,male,27,1,0,10.5,S,Third,man,1,E,Queenstown,no,1
1,1,female,14,0,0,7.73,C,First,woman,0,C,Southampton,yes,0
0,2,male,4,0,0,12.47,C,Second,man,1,D,Cherbourg,no,1
1,3,female,58,2,0,39.69,S,Third,woman,0,E,Queenstown,yes,0
0,1,male,20,1,0,18.0,S,First,man,1,C,Southampton,no,1
0,1,male,22,1,0,7.25,C,First,man,1,C,Cherbourg,no,0
1,2,female,38,0,0,71.83,S,Second,woman,0,D,Queenstown,yes,1
1,3,female,26,1,0,8.05,S,Third,woman,0,E,Southampton,yes,0
0,1,male,35,0,1,53.1,C,First,man,1,C,Cherbourg,no,1
1,2,female,35,0,1,8.05,C,Second,woman,0,D,Queenstown,yes,0
0,3,male,27,1,0,10.5,S,Third,man,1,E,Southampton,no,1
1,1,female,14,0,0,7.73,C,First,woman,0,C,Cherbourg,yes,0
0,2,male,4,0,0,12.47,C,Second,man,1,D,Queenstown,no,1
1,3,female,58,2,0,39.69,S,Third,woman,0,E,Southampton,yes,0
0,1,male,20,1,0,18.0,S,First,man,1,C,Cherbourg,no,1
0,1,male,22,1,0,7.25,C,First,man,1,C,Queenstown,no,0
1,2,female,38,0,0,71.83,S,Second,woman,0,D,Southampton,yes,1
1,3,female,26,1,0,8.05,S,Third,woman,0,E,Cherbourg,yes,0
0,1,male,35,0,1,53.1,C,First,man,1,C,Queenstown,no,1
1,2,female,35,0,1,8.05,C,Second,woman,0,D,Southampton,yes,0
0,3,male,27,1,0,10.5,S,Third,man,1,E,Cherbourg,no,1
1,1,female,14,0,0,7.73,C,First,woman,0,C,Queenstown,yes,0
0,2,male,4,0,0,12.47,C,Second,man,1,D,Southampton,no,1
1,3,female,58,2,0,39.69,S,Third,woman,0,E,Cherbourg,yes,0
0,1,male,20,1,0,18.0,S,First,man,1,C,Queenstown,no,1
0,1,male,22,1,0,7.25,C,First,man,1,C,Southampton,no,0
1,2,female,38,0,0,71.83,S,Second,woman,0,D,Cherbourg,yes,1
1,3,female,26,1,0,8.05,S,Third,woman,0,E,Queenstown,yes,0
0,1,male,35,0,1,53.1,C,First,man,1,C,Southampton,no,1
